observation_id,observation_date,surveyor_id,surveyor_name,location_name,region,sector_id,n_observed,w_observed,s_observed,n_canonical,w_canonical,s_canonical,variance_n,variance_w,variance_s,total_variance,stability_class,surveyor_reliability,instrument_id,weather_conditions,notes
GCO-03290,1840-01-15,SV-03,Vornis Keth,Little Yard,Capital,NW-6,45.521,4.444,14.611,46.115,3.94,14.659,-0.593,0.504,-0.048,0.78,STABLE,0.783,COMP-017,clear,
GCO-03700,1840-01-16,SV-02,Mira Strand,Lower Yard (Capital),Capital,NW-9,9.305,17.418,48.98,8.17,18.973,49.476,1.135,-1.555,-0.496,1.988,STABLE,0.708,COMP-024,clear,
GCO-03331,1840-01-17,SV-06,Sareth Vell,Little Yard,Capital,NW-6,47.431,3.142,14.552,46.115,3.94,14.659,1.317,-0.798,-0.107,1.543,STABLE,0.903,COMP-018,clear,Readings taken at dawn
GCO-03626,1840-01-18,SV-28,Varren Hill,Little Yard,Capital,NW-6,46.946,4.367,15.518,46.115,3.94,14.659,0.831,0.427,0.859,1.269,STABLE,0.729,COMP-050,clear,
GCO-04762,1840-01-19,SV-08,Tessyn Ward,Wharf (Capital),Capital,NW-6,37.666,13.431,2.669,38.8,11.452,1.605,-1.134,1.978,1.064,2.517,STABLE,0.726,COMP-020,storm,
GCO-02777,1840-01-20,SV-26,Norris Vale,Little Yard,Capital,NW-6,47.158,2.733,14.776,46.115,3.94,14.659,1.044,-1.207,0.117,1.6,STABLE,0.801,COMP-012,clear,
GCO-01561,1840-01-22,SV-26,Norris Vale,Little Yard,Capital,NW-6,45.477,3.156,15.265,46.115,3.94,14.659,-0.638,-0.784,0.606,1.179,MODERATE,0.801,COMP-032,clear,
GCO-03242,1840-01-22,SV-26,Norris Vale,Little Yard,Capital,NW-6,47.149,4.438,14.296,46.115,3.94,14.659,1.034,0.498,-0.363,1.204,STABLE,0.801,COMP-024,clear,
GCO-04261,1840-01-22,SV-07,Rellen Foss,East Plaza (Capital),Capital,NW-8,28.377,36.229,10.482,28.359,35.896,10.631,0.018,0.333,-0.149,0.365,STABLE,0.968,COMP-011,rain,
GCO-02806,1840-01-25,SV-29,Corren Dale,Lower Yard (Capital),Capital,NW-9,9.66,19.0,49.887,8.17,18.973,49.476,1.49,0.027,0.411,1.546,STABLE,0.954,COMP-045,fog,
GCO-03064,1840-01-25,SV-26,Norris Vale,Little Yard,Capital,NW-6,46.548,3.548,15.521,46.115,3.94,14.659,0.434,-0.393,0.862,1.041,STABLE,0.801,COMP-003,clear,
GCO-02638,1840-01-28,SV-21,Mellen Pike,South Commons,Densmok,NW-5,165.027,106.327,130.33,165.737,106.523,131.637,-0.711,-0.196,-1.307,1.5,STABLE,0.942,COMP-040,cloudy,
GCO-00078,1840-01-29,SV-27,Sellin Brook,East Court,Capital,NW-1,23.787,8.722,16.614,24.282,10.687,20.052,-0.495,-1.965,-3.438,3.991,MODERATE,0.728,COMP-010,rain,
GCO-00650,1840-01-30,SV-06,Sareth Vell,Little Yard,Capital,NW-6,46.453,3.579,14.209,46.115,3.94,14.659,0.338,-0.361,-0.45,0.669,STABLE,0.903,COMP-020,clear,
GCO-03355,1840-01-30,SV-29,Corren Dale,Little Yard,Capital,NW-6,46.494,3.11,15.611,46.115,3.94,14.659,0.379,-0.83,0.952,1.319,STABLE,0.954,COMP-033,cloudy,
GCO-01755,1840-01-31,SV-08,Tessyn Ward,East Square,Capital,NW-2,38.971,49.781,41.948,38.653,49.261,42.766,0.317,0.519,-0.818,1.02,STABLE,0.726,COMP-010,rain,
GCO-01124,1840-02-02,SV-19,Nerin Kale,Circle,Capital,NW-9,-0.256,36.052,35.481,0.162,36.105,35.984,-0.418,-0.052,-0.503,0.656,STABLE,0.943,COMP-016,clear,
GCO-02328,1840-02-04,SV-09,Archon Mills,Little Yard,Capital,NW-6,46.105,3.722,15.69,46.115,3.94,14.659,-0.01,-0.218,1.031,1.054,STABLE,0.827,COMP-001,clear,
GCO-04828,1840-02-04,SV-10,Kella Tross,East Plaza (Capital),Capital,NW-8,28.242,36.964,10.617,28.359,35.896,10.631,-0.117,1.068,-0.014,1.074,STABLE,0.709,COMP-046,cloudy,
GCO-00390,1840-02-07,SV-14,Levin Cross,Little Yard,Capital,NW-6,46.226,4.375,14.548,46.115,3.94,14.659,0.111,0.435,-0.111,0.462,STABLE,0.76,COMP-030,cloudy,
GCO-02705,1840-02-10,SV-11,Erris Dann,East Square,Capital,NW-2,37.905,49.764,43.476,38.653,49.261,42.766,-0.749,0.503,0.71,1.148,STABLE,0.766,COMP-026,cloudy,
GCO-04208,1840-02-11,SV-01,Kellis Dorn,Little Yard,Capital,NW-6,46.497,4.539,13.374,46.115,3.94,14.659,0.383,0.599,-1.285,1.468,STABLE,0.892,COMP-018,fog,
GCO-03819,1840-02-12,SV-21,Mellen Pike,Little Yard,Capital,NW-6,46.097,4.56,14.413,46.115,3.94,14.659,-0.017,0.62,-0.246,0.667,STABLE,0.942,COMP-025,clear,Equipment recalibrated
GCO-03310,1840-02-15,SV-11,Erris Dann,Little Yard,Capital,NW-6,46.593,5.051,14.734,46.115,3.94,14.659,0.478,1.111,0.075,1.212,STABLE,0.766,COMP-013,cloudy,
GCO-00224,1840-02-16,SV-09,Archon Mills,Little Yard,Capital,NW-6,46.759,4.778,14.495,46.115,3.94,14.659,0.645,0.838,-0.164,1.07,STABLE,0.827,COMP-043,clear,
GCO-01648,1840-02-17,SV-28,Varren Hill,Little Yard,Capital,NW-6,44.207,3.47,14.455,46.115,3.94,14.659,-1.908,-0.47,-0.204,1.976,STABLE,0.729,COMP-008,cloudy,
GCO-01671,1840-02-19,SV-30,Merris Glen,Little Yard,Capital,NW-6,46.041,3.725,14.333,46.115,3.94,14.659,-0.074,-0.215,-0.326,0.397,STABLE,0.881,COMP-038,cloudy,
GCO-03896,1840-02-23,SV-02,Mira Strand,Little Exchange (Capital),Capital,NW-2,9.465,18.126,33.073,8.133,17.764,33.509,1.333,0.363,-0.436,1.448,STABLE,0.708,COMP-036,cloudy,
GCO-04531,1840-02-26,SV-20,Torren Voss,East Square,Capital,NW-2,38.37,50.0,42.94,38.653,49.261,42.766,-0.284,0.739,0.174,0.81,STABLE,0.702,COMP-029,clear,
GCO-00254,1840-02-28,SV-26,Norris Vale,East Square,Capital,NW-2,37.484,49.032,43.295,38.653,49.261,42.766,-1.169,-0.23,0.529,1.304,STABLE,0.801,COMP-042,cloudy,
GCO-01236,1840-02-28,SV-21,Mellen Pike,Wharf (Capital),Capital,NW-6,38.698,11.168,0.835,38.8,11.452,1.605,-0.102,-0.285,-0.77,0.827,STABLE,0.942,COMP-014,cloudy,
GCO-00594,1840-02-29,SV-25,Terris Bloom,Little Yard,Capital,NW-6,46.455,3.67,15.278,46.115,3.94,14.659,0.34,-0.27,0.619,0.756,STABLE,0.987,COMP-018,cloudy,
GCO-01756,1840-03-01,SV-05,Tobin Creel,Little Yard,Capital,NW-6,46.088,3.549,13.795,46.115,3.94,14.659,-0.027,-0.391,-0.864,0.948,STABLE,0.921,COMP-034,clear,
GCO-04494,1840-03-01,SV-19,Nerin Kale,Little Yard,Capital,NW-6,46.598,4.095,15.231,46.115,3.94,14.659,0.483,0.155,0.572,0.765,STABLE,0.943,COMP-044,clear,
GCO-01617,1840-03-05,SV-19,Nerin Kale,Lower Yard (Capital),Capital,NW-9,9.133,18.136,49.341,8.17,18.973,49.476,0.963,-0.837,-0.135,1.283,STABLE,0.943,COMP-036,clear,
GCO-00676,1840-03-10,SV-10,Kella Tross,Little Yard,Capital,NW-6,45.74,2.422,15.934,46.115,3.94,14.659,-0.375,-1.518,1.275,2.017,STABLE,0.709,COMP-044,storm,
GCO-01912,1840-03-11,SV-02,Mira Strand,Little Exchange (Capital),Capital,NW-2,8.822,17.669,32.978,8.133,17.764,33.509,0.69,-0.095,-0.531,0.876,STABLE,0.708,COMP-032,clear,
GCO-02386,1840-03-13,SV-01,Kellis Dorn,Little Exchange (Capital),Capital,NW-2,7.145,18.494,33.68,8.133,17.764,33.509,-0.988,0.73,0.171,1.24,STABLE,0.892,COMP-015,clear,Readings verified by second surveyor
GCO-00290,1840-03-14,SV-08,Tessyn Ward,Little Yard,Capital,NW-6,45.805,4.18,13.065,46.115,3.94,14.659,-0.31,0.24,-1.594,1.641,STABLE,0.726,COMP-044,fog,
GCO-00751,1840-03-15,SV-09,Archon Mills,East Square,Capital,NW-2,37.999,48.799,44.251,38.653,49.261,42.766,-0.655,-0.463,1.485,1.688,STABLE,0.827,COMP-042,storm,
GCO-04309,1840-03-15,SV-16,Hellis Mord,Little Yard,Capital,NW-6,46.478,3.934,14.779,46.115,3.94,14.659,0.364,-0.006,0.12,0.383,STABLE,0.863,COMP-029,clear,
GCO-03600,1840-03-17,SV-26,Norris Vale,Little Yard,Capital,NW-6,45.458,3.25,13.089,46.115,3.94,14.659,-0.657,-0.69,-1.57,1.836,STABLE,0.801,COMP-023,clear,
GCO-02169,1840-03-18,SV-10,Kella Tross,Little Yard,Capital,NW-6,46.255,3.717,13.67,46.115,3.94,14.659,0.141,-0.223,-0.989,1.024,STABLE,0.709,COMP-050,cloudy,Multiple readings averaged
GCO-00820,1840-03-21,SV-16,Hellis Mord,East Square,Capital,NW-2,39.351,48.712,43.614,38.653,49.261,42.766,0.697,-0.549,0.848,1.228,STABLE,0.863,COMP-030,clear,
GCO-02149,1840-03-21,SV-26,Norris Vale,Little Exchange (Capital),Capital,NW-2,8.268,18.439,32.568,8.133,17.764,33.509,0.136,0.676,-0.941,1.166,STABLE,0.801,COMP-049,clear,Multiple readings averaged
GCO-01490,1840-03-22,SV-29,Corren Dale,Little Exchange (Capital),Capital,NW-2,8.445,18.399,32.989,8.133,17.764,33.509,0.312,0.636,-0.52,0.879,STABLE,0.954,COMP-019,clear,
GCO-01379,1840-03-24,SV-23,Pellin Marsh,East Square,Capital,NW-2,39.013,49.884,42.532,38.653,49.261,42.766,0.36,0.623,-0.234,0.757,STABLE,0.802,COMP-010,cloudy,
GCO-00828,1840-03-28,SV-24,Kellin Ward,Little Yard,Capital,NW-6,45.144,4.733,14.396,46.115,3.94,14.659,-0.971,0.793,-0.263,1.281,STABLE,0.747,COMP-001,clear,
GCO-02460,1840-04-04,SV-13,Anster Cole,Little Yard,Capital,NW-6,46.376,4.238,14.504,46.115,3.94,14.659,0.261,0.298,-0.155,0.426,STABLE,0.708,COMP-030,cloudy,
GCO-04975,1840-04-04,SV-27,Sellin Brook,Lower Yard (Capital),Capital,NW-9,8.105,20.278,51.153,8.17,18.973,49.476,-0.066,1.305,1.677,2.126,STABLE,0.728,COMP-048,rain,
GCO-02652,1840-04-08,SV-03,Vornis Keth,Little Yard,Capital,NW-6,45.406,3.91,15.134,46.115,3.94,14.659,-0.708,-0.03,0.475,0.853,STABLE,0.783,COMP-047,cloudy,
GCO-02785,1840-04-13,SV-22,Garris Stone,Little Yard,Capital,NW-6,46.178,4.729,14.28,46.115,3.94,14.659,0.063,0.789,-0.379,0.877,STABLE,0.909,COMP-049,clear,
GCO-04339,1840-04-17,SV-11,Erris Dann,Little Tower,Capital,NW-7,11.717,28.996,11.554,12.331,28.068,13.137,-0.614,0.927,-1.583,1.935,STABLE,0.766,COMP-023,clear,
GCO-01255,1840-04-19,SV-18,Sollis Hern,Little Yard,Capital,NW-6,46.234,4.289,14.568,46.115,3.94,14.659,0.119,0.349,-0.091,0.38,STABLE,0.877,COMP-007,cloudy,
GCO-04730,1840-04-22,SV-20,Torren Voss,Lower Yard (Capital),Capital,NW-9,8.61,18.879,49.56,8.17,18.973,49.476,0.44,-0.093,0.084,0.457,STABLE,0.702,COMP-027,clear,
GCO-01001,1840-04-24,SV-12,Pemlik Vorn,Little Yard,Capital,NW-6,46.264,3.979,13.037,46.115,3.94,14.659,0.149,0.039,-1.622,1.629,STABLE,0.852,COMP-018,clear,
GCO-04623,1840-04-24,SV-30,Merris Glen,Little Exchange (Capital),Capital,NW-2,7.436,15.917,35.699,8.133,17.764,33.509,-0.697,-1.847,2.191,2.949,MODERATE,0.881,COMP-013,clear,
GCO-00465,1840-04-25,SV-04,Pella Morse,Circle,Capital,NW-9,-0.103,36.548,36.187,0.162,36.105,35.984,-0.265,0.443,0.203,0.555,STABLE,0.767,COMP-018,cloudy,
GCO-02858,1840-04-25,SV-21,Mellen Pike,Little Yard,Capital,NW-6,45.845,4.853,13.871,46.115,3.94,14.659,-0.27,0.913,-0.788,1.236,STABLE,0.942,COMP-027,clear,Multiple readings averaged
GCO-02981,1840-04-26,SV-24,Kellin Ward,Little Yard,Capital,NW-6,46.39,4.626,14.986,46.115,3.94,14.659,0.276,0.686,0.327,0.808,STABLE,0.747,COMP-033,cloudy,
GCO-00917,1840-04-27,SV-06,Sareth Vell,Little Exchange (Capital),Capital,NW-2,8.328,17.022,33.141,8.133,17.764,33.509,0.195,-0.742,-0.368,0.851,STABLE,0.903,COMP-041,clear,
GCO-02724,1840-04-27,SV-01,Kellis Dorn,Little Yard,Capital,NW-6,47.17,4.493,15.128,46.115,3.94,14.659,1.055,0.553,0.47,1.28,STABLE,0.892,COMP-017,cloudy,
GCO-00397,1840-04-28,SV-09,Archon Mills,Lower Yard (Capital),Capital,NW-9,7.666,19.497,49.868,8.17,18.973,49.476,-0.504,0.524,0.392,0.826,STABLE,0.827,COMP-037,cloudy,
GCO-04551,1840-05-03,SV-16,Hellis Mord,Little Yard,Capital,NW-6,45.153,4.284,14.371,46.115,3.94,14.659,-0.961,0.344,-0.287,1.061,STABLE,0.863,COMP-030,clear,
GCO-04019,1840-05-06,SV-09,Archon Mills,Greater Court (Capital),Capital,NW-7,40.481,9.189,5.041,40.375,9.52,4.847,0.106,-0.331,0.194,0.398,STABLE,0.827,COMP-032,cloudy,
GCO-02430,1840-05-08,SV-03,Vornis Keth,East Square,Capital,NW-2,38.863,48.598,43.342,38.653,49.261,42.766,0.21,-0.663,0.576,0.903,STABLE,0.783,COMP-023,cloudy,
GCO-03323,1840-05-10,SV-12,Pemlik Vorn,Little Yard,Capital,NW-6,46.375,1.539,13.133,46.115,3.94,14.659,0.26,-2.401,-1.526,2.857,MODERATE,0.852,COMP-005,clear,
GCO-02647,1840-05-12,SV-29,Corren Dale,Junction,Densmok,NW-3,142.954,50.847,109.96,142.769,50.967,107.524,0.186,-0.12,2.436,2.446,STABLE,0.954,COMP-017,storm,
GCO-03157,1840-05-12,SV-25,Terris Bloom,Little Yard,Capital,NW-6,46.34,3.862,15.397,46.115,3.94,14.659,0.225,-0.078,0.738,0.775,STABLE,0.987,COMP-006,clear,
GCO-00716,1840-05-13,SV-21,Mellen Pike,Little Yard,Capital,NW-6,46.056,3.96,13.988,46.115,3.94,14.659,-0.059,0.02,-0.671,0.674,STABLE,0.942,COMP-021,clear,
GCO-02022,1840-05-14,SV-15,Darren Pol,Little Yard,Capital,NW-6,46.401,4.936,14.392,46.115,3.94,14.659,0.286,0.996,-0.267,1.07,STABLE,0.895,COMP-006,clear,
GCO-03024,1840-05-15,SV-07,Rellen Foss,North Depot,Capeast,NE-8,92.68,209.916,116.647,92.989,207.998,115.471,-0.309,1.917,1.177,2.271,STABLE,0.968,COMP-017,clear,
GCO-02470,1840-05-16,SV-14,Levin Cross,Little Yard,Capital,NW-6,45.757,5.726,14.358,46.115,3.94,14.659,-0.358,1.786,-0.3,1.846,MODERATE,0.76,COMP-001,clear,
GCO-04764,1840-05-17,SV-12,Pemlik Vorn,Little Yard,Capital,NW-6,45.377,3.583,14.019,46.115,3.94,14.659,-0.738,-0.357,-0.64,1.04,STABLE,0.852,COMP-046,cloudy,
GCO-01134,1840-05-20,SV-05,Tobin Creel,Little Yard,Capital,NW-6,47.081,3.459,14.506,46.115,3.94,14.659,0.966,-0.481,-0.153,1.09,STABLE,0.921,COMP-024,rain,
GCO-02827,1840-05-20,SV-13,Anster Cole,East Plaza (Capital),Capital,NW-8,29.386,33.576,11.627,28.359,35.896,10.631,1.027,-2.32,0.995,2.725,STABLE,0.708,COMP-009,fog,
GCO-01268,1840-05-22,SV-01,Kellis Dorn,East Square,Capital,NW-2,37.979,48.478,42.747,38.653,49.261,42.766,-0.674,-0.783,-0.019,1.034,STABLE,0.892,COMP-002,cloudy,
GCO-04140,1840-05-24,SV-22,Garris Stone,Little Yard,Capital,NW-6,46.271,3.189,14.865,46.115,3.94,14.659,0.156,-0.751,0.206,0.794,STABLE,0.909,COMP-027,cloudy,
GCO-02308,1840-05-27,SV-26,Norris Vale,Lower Yard (Capital),Capital,NW-9,8.049,19.947,50.173,8.17,18.973,49.476,-0.121,0.974,0.697,1.204,STABLE,0.801,COMP-008,clear,
GCO-04805,1840-05-28,SV-12,Pemlik Vorn,Little Yard,Capital,NW-6,46.64,3.539,14.098,46.115,3.94,14.659,0.525,-0.401,-0.56,0.867,STABLE,0.852,COMP-050,clear,
GCO-03206,1840-05-29,SV-05,Tobin Creel,Little Yard,Capital,NW-6,46.566,3.616,14.832,46.115,3.94,14.659,0.451,-0.324,0.173,0.582,STABLE,0.921,COMP-018,clear,
GCO-00316,1840-05-30,SV-06,Sareth Vell,Little Yard,Capital,NW-6,46.161,3.825,14.41,46.115,3.94,14.659,0.046,-0.115,-0.249,0.278,STABLE,0.903,COMP-025,clear,
GCO-02199,1840-05-30,SV-08,Tessyn Ward,Little Yard,Capital,NW-6,45.337,4.242,14.982,46.115,3.94,14.659,-0.778,0.302,0.323,0.895,STABLE,0.726,COMP-019,cloudy,
GCO-03447,1840-06-01,SV-29,Corren Dale,Little Yard,Capital,NW-6,45.476,3.509,15.306,46.115,3.94,14.659,-0.638,-0.431,0.647,1.006,STABLE,0.954,COMP-037,cloudy,
GCO-04860,1840-06-01,SV-30,Merris Glen,Little Yard,Capital,NW-6,45.596,4.524,14.193,46.115,3.94,14.659,-0.518,0.584,-0.466,0.909,STABLE,0.881,COMP-010,clear,
GCO-03454,1840-06-02,SV-27,Sellin Brook,Little Yard,Capital,NW-6,45.883,3.035,14.152,46.115,3.94,14.659,-0.232,-0.905,-0.507,1.063,STABLE,0.728,COMP-003,clear,
GCO-04669,1840-06-05,SV-19,Nerin Kale,Little Yard,Capital,NW-6,45.628,3.673,14.31,46.115,3.94,14.659,-0.487,-0.267,-0.349,0.656,STABLE,0.943,COMP-019,clear,
GCO-01363,1840-06-06,SV-21,Mellen Pike,Little Yard,Capital,NW-6,46.216,2.734,14.232,46.115,3.94,14.659,0.101,-1.206,-0.427,1.283,STABLE,0.942,COMP-003,clear,
GCO-01540,1840-06-10,SV-03,Vornis Keth,East Square,Capital,NW-2,38.932,48.36,41.961,38.653,49.261,42.766,0.278,-0.901,-0.805,1.24,STABLE,0.783,COMP-050,clear,
GCO-03615,1840-06-12,SV-28,Varren Hill,East Junction (Capital),Capital,NW-9,43.964,4.49,33.231,42.798,4.895,32.607,1.165,-0.405,0.624,1.382,STABLE,0.729,COMP-026,cloudy,
GCO-03616,1840-06-18,SV-14,Levin Cross,Little Yard,Capital,NW-6,46.22,3.516,14.85,46.115,3.94,14.659,0.105,-0.424,0.191,0.477,STABLE,0.76,COMP-026,rain,
GCO-03968,1840-06-18,SV-04,Pella Morse,Little Exchange (Capital),Capital,NW-2,8.206,18.04,33.27,8.133,17.764,33.509,0.074,0.276,-0.239,0.373,STABLE,0.767,COMP-026,cloudy,
GCO-03397,1840-06-21,SV-07,Rellen Foss,Little Yard,Capital,NW-6,46.19,3.981,14.977,46.115,3.94,14.659,0.075,0.041,0.318,0.329,STABLE,0.968,COMP-036,rain,
GCO-04571,1840-06-21,SV-20,Torren Voss,Little Yard,Capital,NW-6,46.297,4.016,15.718,46.115,3.94,14.659,0.182,0.076,1.059,1.078,STABLE,0.702,COMP-020,clear,
GCO-02407,1840-06-22,SV-27,Sellin Brook,East Square,Capital,NW-2,38.781,48.544,43.204,38.653,49.261,42.766,0.127,-0.717,0.438,0.85,STABLE,0.728,COMP-046,clear,
GCO-02948,1840-06-22,SV-09,Archon Mills,Little Exchange (Capital),Capital,NW-2,7.868,17.47,33.275,8.133,17.764,33.509,-0.264,-0.294,-0.234,0.459,STABLE,0.827,COMP-048,clear,
GCO-02896,1840-06-23,SV-07,Rellen Foss,East Square,Capital,NW-2,39.057,49.044,43.144,38.653,49.261,42.766,0.403,-0.217,0.378,0.594,STABLE,0.968,COMP-029,cloudy,
GCO-03487,1840-06-23,SV-19,Nerin Kale,Little Yard,Capital,NW-6,45.294,3.786,14.561,46.115,3.94,14.659,-0.821,-0.154,-0.098,0.841,STABLE,0.943,COMP-018,rain,
GCO-02590,1840-06-24,SV-15,Darren Pol,Lower Yard (Capital),Capital,NW-9,8.226,18.84,50.598,8.17,18.973,49.476,0.056,-0.132,1.122,1.131,STABLE,0.895,COMP-035,cloudy,
GCO-03433,1840-06-24,SV-14,Levin Cross,New Gardens,Deadriver,SE-8,495.336,104.992,547.776,463.855,137.147,567.484,31.481,-32.156,-19.707,49.127,VARIABLE,0.76,COMP-025,clear,
GCO-04002,1840-06-24,SV-10,Kella Tross,Little Yard,Capital,NW-6,46.178,4.402,14.281,46.115,3.94,14.659,0.064,0.462,-0.378,0.6,STABLE,0.709,COMP-049,clear,
GCO-02568,1840-06-26,SV-22,Garris Stone,East Square,Capital,NW-2,38.716,49.905,41.735,38.653,49.261,42.766,0.063,0.644,-1.031,1.217,STABLE,0.909,COMP-041,rain,
GCO-01987,1840-06-27,SV-30,Merris Glen,East Plaza (Capital),Capital,NW-8,28.405,34.452,10.096,28.359,35.896,10.631,0.046,-1.444,-0.535,1.54,STABLE,0.881,COMP-042,clear,
GCO-02684,1840-06-30,SV-04,Pella Morse,Little Yard,Capital,NW-6,46.743,5.255,14.153,46.115,3.94,14.659,0.628,1.315,-0.506,1.543,STABLE,0.767,COMP-003,rain,
GCO-03280,1840-07-02,SV-02,Mira Strand,Little Yard,Capital,NW-6,46.249,3.927,13.779,46.115,3.94,14.659,0.134,-0.013,-0.88,0.89,STABLE,0.708,COMP-020,clear,
GCO-00869,1840-07-05,SV-12,Pemlik Vorn,East Square,Capital,NW-2,38.102,49.463,41.945,38.653,49.261,42.766,-0.551,0.202,-0.821,1.009,STABLE,0.852,COMP-016,cloudy,
GCO-03641,1840-07-06,SV-14,Levin Cross,Little Yard,Capital,NW-6,45.781,4.978,14.619,46.115,3.94,14.659,-0.333,1.038,-0.04,1.091,STABLE,0.76,COMP-021,clear,
GCO-04468,1840-07-07,SV-11,Erris Dann,Little Yard,Capital,NW-6,46.393,3.169,15.057,46.115,3.94,14.659,0.278,-0.771,0.398,0.911,STABLE,0.766,COMP-012,clear,
GCO-00277,1840-07-08,SV-28,Varren Hill,Little Yard,Capital,NW-6,46.074,4.058,15.372,46.115,3.94,14.659,-0.041,0.118,0.713,0.724,STABLE,0.729,COMP-031,clear,
GCO-01827,1840-07-08,SV-08,Tessyn Ward,Little Yard,Capital,NW-6,47.432,4.034,15.129,46.115,3.94,14.659,1.317,0.094,0.471,1.402,STABLE,0.726,COMP-018,cloudy,
GCO-01584,1840-07-09,SV-18,Sollis Hern,Little Exchange (Capital),Capital,NW-2,8.731,18.027,33.564,8.133,17.764,33.509,0.598,0.263,0.056,0.656,STABLE,0.877,COMP-011,storm,
GCO-03622,1840-07-09,SV-12,Pemlik Vorn,Little Yard,Capital,NW-6,45.846,3.233,14.572,46.115,3.94,14.659,-0.268,-0.707,-0.087,0.761,MODERATE,0.852,COMP-007,fog,
GCO-01572,1840-07-11,SV-14,Levin Cross,Little Yard,Capital,NW-6,46.763,5.099,14.922,46.115,3.94,14.659,0.649,1.159,0.263,1.354,STABLE,0.76,COMP-013,clear,Multiple readings averaged
GCO-03711,1840-07-11,SV-16,Hellis Mord,Wharf (Capital),Capital,NW-6,38.091,10.698,1.004,38.8,11.452,1.605,-0.709,-0.754,-0.601,1.197,STABLE,0.863,COMP-048,fog,Equipment recalibrated
GCO-03729,1840-07-12,SV-05,Tobin Creel,Little Yard,Capital,NW-6,45.039,3.739,14.179,46.115,3.94,14.659,-1.076,-0.201,-0.48,1.195,STABLE,0.921,COMP-011,clear,
GCO-03805,1840-07-12,SV-21,Mellen Pike,Little Yard,Capital,NW-6,45.296,3.466,14.133,46.115,3.94,14.659,-0.819,-0.474,-0.526,1.082,STABLE,0.942,COMP-037,cloudy,Compass showed unusual drift
GCO-00400,1840-07-18,SV-19,Nerin Kale,Little Yard,Capital,NW-6,45.657,4.947,14.44,46.115,3.94,14.659,-0.457,1.007,-0.219,1.128,STABLE,0.943,COMP-001,fog,
GCO-00747,1840-07-20,SV-16,Hellis Mord,Little Yard,Capital,NW-6,47.395,4.928,14.912,46.115,3.94,14.659,1.28,0.988,0.253,1.637,STABLE,0.863,COMP-035,rain,
